FECHA;PRECTOTCORR;ALLSKY_SFC_SW_DWN
20010928;1,16;15,71
20010929;3,65;14,22
20010930;3,59;19,55
20011001;0,57;18,65
20011002;2,66;22,65
20011003;0,29;21,68
20011004;0,05;22,93
20011005;2,46;20,55
20011006;5,21;21,33
20011007;0,47;17,86
20011008;1,3;20,92
20011009;29,2;18,56
20011010;19,54;14,99
20011011;2,45;10,09
20011012;0,51;19,06
20011013;0,04;20,49
20011014;5,6;20,08
20011015;24,62;19,06
20011016;10,41;16,31
20011017;11,23;15,87
20011018;3,36;19,64
20011019;1,68;18,95
20011020;0,24;19,44
20011021;0,41;19,34
20011022;0,49;21,73
20011023;0,97;14,21
20011024;6,57;16,74
20011025;1,14;16,09
20011026;0,04;21,63
20011027;1,31;17,58
20011028;5,71;18,17
20011029;0,78;21,74
20011030;3,16;20,06
20011031;2,98;17,18
20011101;5,18;14,94
20011102;2,45;18,08
20011103;0,54;19,13
20011104;0,13;20,3
20011105;0,16;19,67
20011106;0,26;18,6
20011107;4,55;17,32
20011108;1,55;18,97
20011109;0,42;16,38
20011110;3,97;19,06
20011111;1,09;16,63
20011112;0,47;16,68
20011113;1,96;17,11
20011114;0,94;13,3
20011115;0;18,29
20011116;0,13;19,72
20011117;0,19;19,49
20011118;0,59;13,68
20011119;0,26;14,13
20011120;19,01;15,06
20011121;5,76;13,23
20011122;0,43;16,16
20011123;0,11;19,53
20011124;1,12;19,1
20011125;3,93;12
20011126;1,21;15,88
20011127;0,86;20,36
20011128;0,81;20,56
20011129;0,33;20,44
20011130;0,1;16,2
20011201;0;19,7
20011202;0,07;19,38
20011203;0,42;17,8
20011204;1,39;18,73
20011205;6,69;18,09
20011206;2,3;18,25
20011207;1,09;17,8
20011208;6,03;15,49
20011209;3,18;15,61
20011210;10,41;15,6
20011211;1,97;14,35
20011212;0,65;17,53
20011213;0,39;16,86
20011214;3,41;19,95
20011215;1,15;17,98
20011216;1,41;16,24
20011217;0,54;16,06
20011218;2,32;11,47
20011219;2;15,52
20011220;0,36;16,76
20011221;0,17;11,77
20011222;0,42;12,74
20011223;2,03;16,44
20011224;1,34;17,44
20011225;14,31;17,99
20011226;18,4;16,64
20011227;2,77;10,23
20011228;0,17;15,8
20011229;0,05;19,47
20011230;0,02;19,26
20011231;0,17;19,87
20020101;0,03;21,73
20020102;0,05;20,33
20020103;0,05;20,63
20020104;0,68;20,32
20020105;1,01;18,64
20020106;0,28;17,91
20020107;0,03;22,01
20020108;0,09;20,73
20020109;1,35;21,96
20020110;1,6;21,44
20020111;0,81;18,4
20020112;0,66;21,68
20020113;0,36;19,82
20020114;0,01;18,74
20020115;0;18,39
20020116;0,03;21,66
20020117;0;23,08
20020118;0,31;21,84
20020119;0,06;19,45
20020120;0,07;20,04
20020121;0,03;20,6
20020122;0,02;19,62
20020123;0;17,23
20020124;0,04;22,23
20020125;0,02;23,26
20020126;0,01;23,5
20020127;0,01;22,46
20020128;0;20,89
20020129;0,02;18,49
20020130;0,03;16,54
20020131;0,07;19,22
20020201;0;17,41
20020202;0;19,16
20020203;0,1;17,27
20020204;0,1;20,05
20020205;0,15;23,08
20020206;0,03;20,75
20020207;0,25;19,4
20020208;0,03;21,37
20020209;0,03;19,49
20020210;0,03;21,98
20020211;0,03;24,39
20020212;0,05;24,83
20020213;0,03;22,44
20020214;0;23,11
20020215;0;23,14
20020216;0;23,07
20020217;0;22,74
20020218;0;22,05
20020219;7,1;19,82
20020220;1,19;23,8
20020221;0,04;25,65
20020222;0,02;24,31
20020223;0;21,97
20020224;0;21,67
20020225;0;22,7
20020226;0;21,22
20020227;0;23,96
20020228;0;22,21
20020301;0,15;23,67
20020302;0;23,68
20020303;0,01;24,01
20020304;0,05;24,88
20020305;0,13;25,66
20020306;0,03;23,48
